Data;Godzina;CRO;CROs;CROz
20231101;1;423,13;423,13;423,13
20231101;2;423,68;423,68;423,68
20231101;3;423,68;423,68;423,68
20231101;4;423,17;423,17;423,17
20231101;5;429,75;429,75;429,75
20231101;6;423,12;423,12;423,12
20231101;7;422,53;422,53;422,53
20231101;8;422,48;422,48;422,48
20231101;9;421,88;421,88;421,88
20231101;10;422,48;422,48;422,48
20231101;11;421,88;421,88;421,88
20231101;12;421,88;421,88;421,88
20231101;13;421,28;421,28;421,28
20231101;14;421,30;421,30;421,30
20231101;15;421,89;421,89;421,89
20231101;16;422,57;422,57;422,57
20231101;17;423,08;423,08;423,08
20231101;18;371,26;371,26;371,26
20231101;19;285,37;285,37;285,37
20231101;20;224,39;224,39;224,39
20231101;21;317,89;317,89;317,89
20231101;22;375,47;375,47;375,47
20231101;23;415,50;415,50;415,50
20231101;24;317,89;317,89;317,89
20231102;1;285,19;285,19;285,19
20231102;2;285,19;285,19;285,19
20231102;3;285,19;285,19;285,19
20231102;4;198,08;198,08;198,08
20231102;5;255,38;255,38;255,38
20231102;6;317,40;317,40;317,40
20231102;7;317,40;317,40;317,40
20231102;8;317,40;317,40;317,40
20231102;9;317,40;317,40;317,40
20231102;10;275,84;275,84;275,84
20231102;11;121,70;121,70;121,70
20231102;12;121,70;121,70;121,70
20231102;13;261,24;261,24;261,24
20231102;14;363,94;363,94;363,94
20231102;15;317,40;317,40;317,40
20231102;16;370,71;370,71;370,71
20231102;17;369,44;369,44;369,44
20231102;18;311,18;311,18;311,18
20231102;19;300,20;300,20;300,20
20231102;20;298,12;298,12;298,12
20231102;21;370,71;370,71;370,71
20231102;22;376,35;376,35;376,35
20231102;23;318,31;318,31;318,31
20231102;24;298,12;298,12;298,12
20231103;1;135,53;135,53;135,53
20231103;2;170,36;170,36;170,36
20231103;3;142,82;142,82;142,82
20231103;4;181,35;181,35;181,35
20231103;5;181,35;181,35;181,35
20231103;6;279,34;279,34;279,34
20231103;7;428,89;428,89;428,89
20231103;8;496,20;496,20;496,20
20231103;9;498,52;498,52;498,52
20231103;10;530,05;530,05;530,05
20231103;11;498,53;498,53;498,53
20231103;12;624,68;624,68;624,68
20231103;13;624,68;624,68;624,68
20231103;14;596,74;596,74;596,74
20231103;15;530,05;530,05;530,05
20231103;16;498,52;498,52;498,52
20231103;17;497,95;497,95;497,95
20231103;18;498,53;498,53;498,53
20231103;19;491,99;491,99;491,99
20231103;20;474,11;474,11;474,11
20231103;21;468,08;468,08;468,08
20231103;22;445,40;445,40;445,40
20231103;23;286,35;286,35;286,35
20231103;24;279,16;279,16;279,16
20231104;1;361,99;361,99;361,99
20231104;2;277,89;277,89;277,89
20231104;3;277,53;277,53;277,53
20231104;4;277,53;277,53;277,53
20231104;5;277,53;277,53;277,53
20231104;6;277,83;277,83;277,83
20231104;7;277,82;277,82;277,82
20231104;8;322,10;322,10;322,10
20231104;9;415,82;415,82;415,82
20231104;10;410,08;410,08;410,08
20231104;11;178,18;178,18;178,18
20231104;12;178,18;178,18;178,18
20231104;13;414,62;414,62;414,62
20231104;14;415,87;415,87;415,87
20231104;15;416,42;416,42;416,42
20231104;16;416,49;416,49;416,49
20231104;17;415,22;415,22;415,22
20231104;18;414,62;414,62;414,62
20231104;19;400,04;400,04;400,04
20231104;20;400,06;400,06;400,06
20231104;21;415,22;415,22;415,22
20231104;22;415,22;415,22;415,22
20231104;23;410,14;410,14;410,14
20231104;24;308,47;308,47;308,47
20231105;1;241,26;241,26;241,26
20231105;2;129,38;129,38;129,38
20231105;3;126,53;126,53;126,53
20231105;4;98,68;98,68;98,68
20231105;5;124,29;124,29;124,29
20231105;6;167,89;167,89;167,89
20231105;7;167,89;167,89;167,89
20231105;8;167,89;167,89;167,89
20231105;9;302,34;302,34;302,34
20231105;10;349,18;349,18;349,18
20231105;11;395,37;395,37;395,37
20231105;12;397,13;397,13;397,13
20231105;13;418,02;418,02;418,02
20231105;14;430,36;430,36;430,36
20231105;15;416,45;416,45;416,45
20231105;16;396,04;396,04;396,04
20231105;17;395,41;395,41;395,41
20231105;18;396,00;396,00;396,00
20231105;19;397,14;397,14;397,14
20231105;20;395,41;395,41;395,41
20231105;21;395,37;395,37;395,37
20231105;22;349,18;349,18;349,18
20231105;23;395,35;395,35;395,35
20231105;24;298,84;298,84;298,84
20231106;1;284,39;284,39;284,39
20231106;2;111,27;111,27;111,27
20231106;3;50,00;50,00;50,00
20231106;4;50,00;50,00;50,00
20231106;5;50,01;50,01;50,01
20231106;6;168,43;168,43;168,43
20231106;7;331,61;331,61;331,61
20231106;8;424,41;424,41;424,41
20231106;9;417,58;417,58;417,58
20231106;10;415,81;415,81;415,81
20231106;11;421,16;421,16;421,16
20231106;12;424,41;424,41;424,41
20231106;13;425,61;425,61;425,61
20231106;14;428,07;428,07;428,07
20231106;15;425,61;425,61;425,61
20231106;16;482,50;482,50;482,50
20231106;17;426,21;426,21;426,21
20231106;18;439,00;439,00;439,00
20231106;19;425,66;425,66;425,66
20231106;20;425,62;425,62;425,62
